# DRAFT_NOT_A_VALID_MCMODSYNC_CATALOG
# Binding: candidate14-r3; derived catalog-version: candidate14-r3-20260812-66778b3f91842d0a.
# Missing # mcmod-sync-v4 magic, catalog-version, real URL and Config.jar hash by design.
# SHA256	MD5	Mod ID	Filename	Kind	Incompatible platforms	Name	Version	Chinese description	English description
38b48dd6231341c9f964ce6e42c57ec866c6cc8f72bec938390a59bafb3922df	db5fe7619d502cf5b9bc972a955cd3bc	appleskin	appleskin-neoforge-mc1.21-3.0.9.jar	required		AppleSkin		candidate14-r3 首发锁定项；未经省略矩阵不得改为推荐项	candidate14-r3 first-release locked entry; do not optionalize without an omit-one matrix
9cc92f2c09533fc5482c60f993bd891c655a0e32b637037cdcb7c2b23adedeeb	aefbea361809755c331126bcff6e6d3e	architectury	architectury-13.0.11-neoforge.jar	required		Architectury	13.0.11	candidate14-r3 首发锁定项；未经省略矩阵不得改为推荐项	candidate14-r3 first-release locked entry; do not optionalize without an omit-one matrix
167534c66d5e6c09dcb01152ebd37d18ced5cf6278a9228c094f937886133af5	293e6e264354a2b383719146638b8d29	backport	backport-1.5.jar	required		Content Backport	1.5	candidate14-r3 首发锁定项；未经省略矩阵不得改为推荐项	candidate14-r3 first-release locked entry; do not optionalize without an omit-one matrix
cd93249fa802559886be89f359e69daef1f38919f4b376b88ba1e2ce78f1bd4b	6abad54dfbb3dd13f5516f7d2dcb5831	barched	barched-neoforge-0.0.12-migration.1-asm.jar	required		Barched	0.0.12	candidate14-r3 首发锁定项；未经省略矩阵不得改为推荐项	candidate14-r3 first-release locked entry; do not optionalize without an omit-one matrix
81a903710d109d129c249c105695a96f4bad5e0acf7068920fb191ba791c14ce	ae82127d8f0a8575875032f1da354561	computercraft	cc-tweaked-1.21.1-forge-1.120.0.jar	required		CC: Tweaked	1.120.0	candidate14-r3 首发锁定项；未经省略矩阵不得改为推荐项	candidate14-r3 first-release locked entry; do not optionalize without an omit-one matrix
6744626e2b43643e9f28c9159fabd7a6a53cdcdeb83ae8252c266f7e987f84f7	31a086161c0f054197078bb2a4d015c9	cctweaked_startup_guard	cctweaked-startup-shutdown-guard-1.0.0+neoforge.1.21.1-equivalence.1.jar	required		CC Tweaked Startup and Shutdown Guard	1.0.0+neoforge.1.21.1-equivalence.1	candidate14-r3 首发锁定项；未经省略矩阵不得改为推荐项	candidate14-r3 first-release locked entry; do not optionalize without an omit-one matrix
9cef2fac6bd959202e37882b941ebc51a1ed7a4259441d3b41372971fd04f6d8	057836f554e603fa4c6f97fc4669056b	colorizer	chest-colorizer-1.6.1-equivalence.2+mc1.21.1-neoforge.jar	required		Chest Colorizer	1.6.1-equivalence.2+mc1.21.1	candidate14-r3 首发锁定项；未经省略矩阵不得改为推荐项	candidate14-r3 first-release locked entry; do not optionalize without an omit-one matrix
65e722e0d98431a07c45f8bdd8d529a217cc8c175fde1740248bd5c1b4f3c0d4	4c3757160403fcccb8ad468c2ea22862	cloth_config	cloth-config-15.0.140-neoforge.jar	required		Cloth Config v15 API	15.0.140	candidate14-r3 首发锁定项；未经省略矩阵不得改为推荐项	candidate14-r3 first-release locked entry; do not optionalize without an omit-one matrix
ed805a4df711ada58ed66ac2f1a30233eeb4e83c364bc4f16cd77f89a5bc5628	d044303cec7ab551e41c09456e12f508	-	connector-2.0.0-beta.16+1.21.1-full.jar	required		connector-2.0.0-beta.16+1.21.1-full		candidate14-r3 首发锁定项；未经省略矩阵不得改为推荐项	candidate14-r3 first-release locked entry; do not optionalize without an omit-one matrix
ef87fe5709f1ba1f5b8bb20a2925b5afb4669e178fd6d8bf10c167759eefe37a	179189c52b45a469e683570be4e77188	create	create-1.21.1-6.0.10.jar	required		Create	6.0.10	candidate14-r3 首发锁定项；未经省略矩阵不得改为推荐项	candidate14-r3 first-release locked entry; do not optionalize without an omit-one matrix
ac51aefdda8437d777b5c8b3e285e9036676d854f7958c6b882807c15be0910a	b0060297b22c5b49cd6a3ed96758a7d6	create_chute_unload_guard	create-chute-unload-guard-1.0.0+neoforge.1.21.1-equivalence.1.jar	required		Create Chute Unload Guard	1.0.0+neoforge.1.21.1-equivalence.1	candidate14-r3 首发锁定项；未经省略矩阵不得改为推荐项	candidate14-r3 first-release locked entry; do not optionalize without an omit-one matrix
8bc10c4b4949ed701f131ff36ccce64da2a817c13dfdd3838cfac7512836aced	694c0fa94a39078ec75067864932db1f	create_dynamic_blocking	create-dynamic-blocking-1.0.0+neoforge.1.21.1-equivalence.1.jar	required		Create: Dynamic Blocking	1.0.0+neoforge.1.21.1-equivalence.1	candidate14-r3 首发锁定项；未经省略矩阵不得改为推荐项	candidate14-r3 first-release locked entry; do not optionalize without an omit-one matrix
0d27024c0f8e94261689eb198d96003ba5a1697d4478b41e298bca707ceae988	32296efe8fe8b3ff942c6f3b16dba642	create_enchantment_industry	create-enchantment-industry-2.5.1.jar	required		Create: Enchantment Industry	2.5.1	candidate14-r3 首发锁定项；未经省略矩阵不得改为推荐项	candidate14-r3 first-release locked entry; do not optionalize without an omit-one matrix
3aa4e8fc9db8babe4c4487e94b88e182a59656dca08bc3bde0a1b46e53d20422	d1217a582c9642c5d02b8790755dbda3	create_nerfad	create-nerfad-1.2.3-neoforge+mc1.21.1.jar	required		Create: Not Enough Recipes For A Dummy	1.1.0	candidate14-r3 首发锁定项；未经省略矩阵不得改为推荐项	candidate14-r3 first-release locked entry; do not optionalize without an omit-one matrix
f8295c0707b515a5840b5534086c5ffc7716ff332eca5949b721452487d84614	2b25a50b10e0c3fae586e4dc330ad414	create_cyber_goggles	CreateCyberGoggles-1.21.1-8.3.6-NeoForge.jar	required		Create: Cyber Goggles	8.3.6	candidate14-r3 首发锁定项；未经省略矩阵不得改为推荐项	candidate14-r3 first-release locked entry; do not optionalize without an omit-one matrix
80687f22daa95fa6240631097688f1e0295a5d31473d9aa56a14d360d863e98b	e3b66c1ffa852fcf4297ad9fb423c39b	create_dragons_plus	CreateDragonsPlus-1.11.4.jar	required		Create: Dragons Plus	1.11.4	candidate14-r3 首发锁定项；未经省略矩阵不得改为推荐项	candidate14-r3 first-release locked entry; do not optionalize without an omit-one matrix
c8a3fa04cd3c9e3efb903c0a7c79e8f4fec5cb6e30f5b858aba9236ed59021a6	ede3aa664acb2c5f67e2a8aaec5f1b62	cyclopscore	cyclopscore-1.21.1-neoforge-1.29.2.jar	required		Cyclops Core	1.29.2	candidate14-r3 首发锁定项；未经省略矩阵不得改为推荐项	candidate14-r3 first-release locked entry; do not optionalize without an omit-one matrix
1c7c4b2a76978c563c18ee05aba9292099e6b15ba920cf2699904068f0b1104b	a366b8da9ab0fb83e079c715f6ad8c0f	deferred_content_protection	deferred-content-protection-1.0.0+neoforge.1.21.1-first-release.1.jar	required		Deferred Content Protection	1.0.0+neoforge.1.21.1-first-release.1	candidate14-r3 首发锁定项；未经省略矩阵不得改为推荐项	candidate14-r3 first-release locked entry; do not optionalize without an omit-one matrix
